Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 442153538 ms 
Sampling frequency: 26757 Hz 
Units: m/s^2
Data:
-8.1607218 -6.0239310 0.3661019 
-7.9872422 -6.1040907 0.3086741 
-7.9034934 -6.0263238 0.2584248 
-8.0781689 -6.0777693 0.2775674 
-8.1786680 -6.1483579 0.3553342 
-8.0865440 -6.0897336 0.3134598 
-8.0494556 -6.1172509 0.1962115 
-8.1260262 -6.1375899 0.2249253 
-8.1020975 -6.1196437 0.1447658 
-8.0925264 -6.0825553 0.1363909 
-8.1391859 -6.1220369 0.3421736 
-8.0207415 -6.1495543 0.3756731 
-8.0578299 -6.0670018 0.2979064 
-8.2097740 -6.0753765 0.2584248 
-8.1918287 -6.1016979 0.3349952 
-8.1092758 -5.9676995 0.2356930 
-8.0949192 -6.0681982 0.0837488 
-8.1092758 -6.2009997 0.2045863 
-8.0446701 -6.0765729 0.1986043 
-8.0554371 -6.1806607 0.2344966 
-8.1738825 -6.1854467 0.2632105 
-8.1810608 -6.1040907 0.3266203 
-8.1607218 -6.0502520 0.2404787 
-8.1212397 -6.0909300 0.1830509 
-8.0865440 -6.1615181 0.3086741 
-8.2181492 -6.1651077 0.2691925 
-8.1332045 -6.1220369 0.1962115 
-7.9752779 -6.0323057 0.1363909 
-8.0470629 -6.0430737 0.2249253 
-8.0913296 -6.0059848 0.2273182 
-8.0422773 -6.0717874 0.2488535 
-7.9872422 -6.1244297 0.2715854 
-8.0386877 -6.0538411 0.1184447 
-8.0626163 -6.0717874 0.1938186 
-8.1260262 -6.0849481 0.3026921 
-8.1786680 -6.1280189 0.2919244 
-8.0865440 -6.1639113 0.2584248 
-8.1355972 -6.1543398 0.1842473 
-8.0554371 -6.1112690 0.1495514 
-8.0446701 -6.1172509 0.2129612 
-8.0973120 -6.1399827 0.2799602 
-8.0853481 -6.0801625 0.2715854 
-8.0674019 -6.0873408 0.1734796 
-8.0374908 -6.1220369 0.1890330 
-8.1044903 -6.2117677 0.2799602 
-8.0027952 -6.1543398 0.1651048 
-8.1044903 -6.2069821 0.2153540 
-8.1260262 -6.2524457 0.2201397 
-8.0650091 -6.1232333 0.1962115 
-8.1738825 -6.1782680 0.2512464 
-8.0554371 -6.1495543 0.2560320 
-8.0279198 -6.0346985 0.1722832 
-8.0865440 -6.1244297 0.2141576 
-8.0386877 -6.1399827 0.2117648 
-8.0829554 -6.1112690 0.1627119 
-8.0626163 -6.1112690 0.2452643 
-7.9585280 -6.1005015 0.2201397 
-8.0494556 -6.2476602 0.2009971 
-8.0937223 -6.1830535 0.1830509 
-8.0662050 -6.1459651 0.1722832 
-8.0339022 -6.1675005 0.1028914 
-8.0709906 -6.1675005 0.1806581 
-8.1332045 -6.1148582 0.1854438 
-8.0949192 -6.0418773 0.1363909 
-8.1044903 -6.1459651 0.1782653 
-8.0255270 -6.0825553 0.1962115 
-8.0602226 -6.1459651 0.1830509 
-8.1355972 -6.1280189 0.1256232 
-8.0973120 -6.0586271 0.1292124 
-8.1367931 -6.2368922 0.2117648 
-8.0925264 -6.2285175 0.2273182 
-8.0135632 -6.0610199 0.1160519 
-8.1212397 -6.0897336 0.2117648 
-8.1188469 -6.0909300 0.2177469 
-8.0949192 -6.1328044 0.1758725 
-8.1942215 -6.1280189 0.2093720 
-8.1607218 -6.0586271 0.1986043 
-8.0949192 -6.1064835 0.2584248 
-8.0674019 -6.0610199 0.2632105 
-8.0542412 -6.1411791 0.2464607 
-8.0518484 -6.0993052 0.1411765 
-8.0757761 -6.0478592 0.2644069 
-8.0817585 -5.9940209 0.3421736 
-8.0231342 -6.0717874 0.2632105 
-8.0027952 -6.1722860 0.3326024 
-8.1176510 -6.1615181 0.3996014 
-8.1284189 -6.0717874 0.2440679 
-8.0374908 -6.0658054 0.1100698 
-8.0075808 -6.1172509 0.1758725 
-8.0255270 -6.0370917 0.2380859 
-8.1068830 -6.1878395 0.3493521 
-8.0542412 -6.1435723 0.2488535 
